conj,id_dep,inicio,fin
1,1,9.0,11.25
1,5,10.0,15.0
1,6,9.0,16.5
1,8,11.0,15.3
1,14,8.3,16.3
1,16,8.3,12.3
1,19,10.0,11.15
1,25,10.0,18.0
1,26,10.0,13.0
2,5,10.0,15.0
2,6,9.0,16.5
2,8,11.0,15.3
2,14,8.3,16.3
2,16,8.3,12.3
2,21,12.0,12.3
2,23,12.0,14.3
2,25,10.0,18.0
2,26,10.0,13.0
3,1,14.0,16.45
3,2,14.0,17.5
3,5,10.0,15.0
3,6,9.0,16.5
3,7,13.0,16.15
3,8,11.0,15.3
3,14,8.3,16.3
3,16,13.0,18.0
3,23,12.0,14.3
3,25,10.0,18.0
4,1,14.0,16.45
4,2,14.0,17.5
4,5,10.0,15.0
4,6,9.0,16.5
4,7,13.0,16.15
4,8,11.0,15.3
4,14,8.3,16.3
4,16,13.0,18.0
4,21,14.3,16.55
4,25,10.0,18.0
5,1,14.0,16.45
5,2,14.0,17.5
5,6,9.0,16.5
5,7,13.0,16.15
5,8,11.0,15.3
5,14,8.3,16.3
5,16,13.0,18.0
5,21,14.3,16.55
5,23,15.05,17.35
5,25,10.0,18.0
6,2,14.0,17.5
6,13,17.0,19.55
6,16,13.0,18.0
6,19,17.0,19.3
6,23,15.05,17.35
6,25,10.0,18.0
6,26,17.0,20.0
7,7,18.0,20.45
7,13,17.0,19.55
7,19,17.0,19.3
7,26,17.0,20.0
