conj,id_dep,inicio,fin
1,3,9.0,12.3
1,5,9.0,14.0
1,6,9.0,16.5
1,10,10.0,10.2
1,11,9.0,13.25
1,14,8.3,17.0
1,16,9.3,18.3
1,17,10.0,11.4
1,20,10.0,11.3
1,25,10.0,18.0
1,26,10.0,13.0
1,27,9.0,12.15
1,30,10.0,13.2
2,3,9.0,12.3
2,5,9.0,14.0
2,6,9.0,16.5
2,10,12.0,13.15
2,11,9.0,13.25
2,14,8.3,17.0
2,16,9.3,18.3
2,25,10.0,18.0
2,26,10.0,13.0
2,27,9.0,12.15
2,29,12.0,18.0
2,30,10.0,13.2
3,3,13.3,17.0
3,5,9.0,14.0
3,6,9.0,16.5
3,14,8.3,17.0
3,16,9.3,18.3
3,25,10.0,18.0
3,29,12.0,18.0
4,3,13.3,17.0
4,6,9.0,16.5
4,9,14.0,16.0
4,12,14.0,22.0
4,13,14.0,16.5
4,14,8.3,17.0
4,15,14.3,16.0
4,16,9.3,18.3
4,17,15.0,15.4
4,22,15.0,17.25
4,24,14.0,17.0
4,25,10.0,18.0
4,26,15.0,21.0
4,29,12.0,18.0
4,30,14.3,17.5
5,3,13.3,17.0
5,6,9.0,16.5
5,10,16.0,16.4
5,11,16.3,19.35
5,12,14.0,22.0
5,13,14.0,16.5
5,14,8.3,17.0
5,16,9.3,18.3
5,22,15.0,17.25
5,24,14.0,17.0
5,25,10.0,18.0
5,26,15.0,21.0
5,29,12.0,18.0
5,30,14.3,17.5
6,3,18.0,21.0
6,11,16.3,19.35
6,12,14.0,22.0
6,15,18.0,19.3
6,16,9.3,18.3
6,20,18.0,19.4
6,26,15.0,21.0
7,3,18.0,21.0
7,11,16.3,19.35
7,12,14.0,22.0
7,13,19.0,21.5
7,15,18.0,19.3
7,20,18.0,19.4
7,24,19.0,21.0
7,26,15.0,21.0
