conj,id_dep,inicio,fin
1,5,9.0,14.0
1,6,9.0,16.5
1,10,10.0,10.2
1,11,9.3,15.05
1,14,8.3,17.0
1,16,9.3,18.3
1,17,10.0,13.15
1,20,10.0,11.3
1,25,10.0,18.0
1,26,10.0,13.0
1,27,9.0,12.15
1,30,10.0,13.2
2,5,9.0,14.0
2,6,9.0,16.5
2,10,12.0,13.15
2,11,9.3,15.05
2,14,8.3,17.0
2,16,9.3,18.3
2,17,10.0,13.15
2,25,10.0,18.0
2,26,10.0,13.0
2,27,9.0,12.15
2,29,12.0,18.0
2,30,10.0,13.2
3,5,9.0,14.0
3,6,9.0,16.5
3,11,9.3,15.05
3,14,8.3,17.0
3,16,9.3,18.3
3,25,10.0,18.0
3,27,13.15,15.3
3,29,12.0,18.0
3,30,10.0,13.2
4,3,14.0,16.15
4,6,9.0,16.5
4,11,9.3,15.05
4,12,14.0,22.0
4,13,14.0,16.5
4,14,8.3,17.0
4,16,9.3,18.3
4,17,15.0,16.3
4,22,14.45,17.25
4,24,14.0,17.0
4,25,10.0,18.0
4,27,13.15,15.3
4,29,12.0,18.0
5,3,14.0,16.15
5,6,9.0,16.5
5,10,16.0,16.4
5,12,14.0,22.0
5,13,14.0,16.5
5,14,8.3,17.0
5,16,9.3,18.3
5,17,15.0,16.3
5,22,14.45,17.25
5,24,14.0,17.0
5,25,10.0,18.0
5,26,16.0,19.3
5,29,12.0,18.0
6,4,16.3,18.0
6,6,9.0,16.5
6,10,16.0,16.4
6,12,14.0,22.0
6,13,14.0,16.5
6,14,8.3,17.0
6,16,9.3,18.3
6,22,14.45,17.25
6,24,14.0,17.0
6,25,10.0,18.0
6,26,16.0,19.3
6,29,12.0,18.0
7,3,18.0,21.0
7,12,14.0,22.0
7,16,9.3,18.3
7,20,18.0,19.4
7,26,16.0,19.3
8,3,18.0,21.0
8,12,14.0,22.0
8,13,19.0,22.1
8,20,18.0,19.4
8,24,19.0,21.0
8,26,16.0,19.3
