conj,id_dep,inicio,fin
1,1,9.0,13.0
1,5,10.0,15.0
1,6,9.0,16.5
1,8,11.0,13.0
1,14,8.3,14.4
1,16,8.0,18.0
1,19,10.0,14.1
1,21,12.0,12.3
1,23,12.0,14.3
1,25,10.0,18.0
1,26,10.0,14.3
1,29,12.0,18.0
1,30,9.3,12.5
2,5,10.0,15.0
2,6,9.0,16.5
2,9,14.0,16.0
2,12,14.0,22.0
2,14,8.3,14.4
2,16,8.0,18.0
2,19,10.0,14.1
2,23,12.0,14.3
2,25,10.0,18.0
2,26,10.0,14.3
2,29,12.0,18.0
3,5,10.0,15.0
3,6,9.0,16.5
3,9,14.0,16.0
3,12,14.0,22.0
3,14,8.3,14.4
3,16,8.0,18.0
3,23,12.0,14.3
3,25,10.0,18.0
3,26,10.0,14.3
3,29,12.0,18.0
3,30,14.1,18.0
4,2,14.3,17.5
4,5,10.0,15.0
4,6,9.0,16.5
4,9,14.0,16.0
4,12,14.0,22.0
4,14,8.3,14.4
4,15,14.3,16.0
4,16,8.0,18.0
4,21,14.3,16.55
4,25,10.0,18.0
4,29,12.0,18.0
4,30,14.1,18.0
5,2,14.3,17.5
5,6,9.0,16.5
5,9,14.0,16.0
5,12,14.0,22.0
5,15,14.3,16.0
5,16,8.0,18.0
5,21,14.3,16.55
5,23,15.05,17.35
5,25,10.0,18.0
5,29,12.0,18.0
5,30,14.1,18.0
6,2,14.3,17.5
6,6,9.0,16.5
6,12,14.0,22.0
6,16,8.0,18.0
6,21,14.3,16.55
6,23,15.05,17.35
6,25,10.0,18.0
6,26,16.0,20.3
6,29,12.0,18.0
6,30,14.1,18.0
7,2,14.3,17.5
7,12,14.0,22.0
7,13,17.0,20.0
7,16,8.0,18.0
7,19,17.0,19.55
7,23,15.05,17.35
7,25,10.0,18.0
7,26,16.0,20.3
7,29,12.0,18.0
7,30,14.1,18.0
8,12,14.0,22.0
8,13,17.0,20.0
8,15,18.0,19.3
8,19,17.0,19.55
8,26,16.0,20.3
