conj,id_dep,inicio,fin
1,3,9.0,12.3
1,5,9.0,14.0
1,6,9.0,16.5
1,10,9.0,9.25
1,11,9.0,13.35
1,27,9.0,12.15
2,3,9.0,12.3
2,5,9.0,14.0
2,6,9.0,16.5
2,11,9.0,13.35
2,16,9.3,18.3
2,17,10.0,12.25
2,20,10.0,11.3
2,25,10.0,18.0
2,26,10.0,14.3
2,27,9.0,12.15
2,28,11.0,13.0
3,3,9.0,12.3
3,5,9.0,14.0
3,6,9.0,16.5
3,10,12.0,14.1
3,11,9.0,13.35
3,16,9.3,18.3
3,17,10.0,12.25
3,25,10.0,18.0
3,26,10.0,14.3
3,27,9.0,12.15
3,28,11.0,13.0
3,29,12.0,18.0
4,3,13.3,17.0
4,5,9.0,14.0
4,6,9.0,16.5
4,10,12.0,14.1
4,11,9.0,13.35
4,16,9.3,18.3
4,25,10.0,18.0
4,26,10.0,14.3
4,29,12.0,18.0
5,3,13.3,17.0
5,6,9.0,16.5
5,10,12.0,14.1
5,12,14.0,22.0
5,13,14.0,16.55
5,16,9.3,18.3
5,24,14.0,17.0
5,25,10.0,18.0
5,26,10.0,14.3
5,29,12.0,18.0
6,3,13.3,17.0
6,4,15.15,18.0
6,6,9.0,16.5
6,10,15.0,16.2
6,12,14.0,22.0
6,13,14.0,16.55
6,16,9.3,18.3
6,17,15.0,16.0
6,22,15.3,17.05
6,24,14.0,17.0
6,25,10.0,18.0
6,29,12.0,18.0
7,3,13.3,17.0
7,4,15.15,18.0
7,6,9.0,16.5
7,10,15.0,16.2
7,12,14.0,22.0
7,13,14.0,16.55
7,15,16.0,17.3
7,16,9.3,18.3
7,22,15.3,17.05
7,24,14.0,17.0
7,25,10.0,18.0
7,26,16.0,20.3
7,29,12.0,18.0
8,3,13.3,17.0
8,4,15.15,18.0
8,6,9.0,16.5
8,11,16.3,19.4
8,12,14.0,22.0
8,13,14.0,16.55
8,15,16.0,17.3
8,16,9.3,18.3
8,22,15.3,17.05
8,24,14.0,17.0
8,25,10.0,18.0
8,26,16.0,20.3
8,29,12.0,18.0
9,3,18.0,21.0
9,11,16.3,19.4
9,12,14.0,22.0
9,16,9.3,18.3
9,20,18.0,19.15
9,26,16.0,20.3
10,3,18.0,21.0
10,11,16.3,19.4
10,12,14.0,22.0
10,13,19.0,21.5
10,20,18.0,19.15
10,24,19.0,21.0
10,26,16.0,20.3
11,3,18.0,21.0
11,12,14.0,22.0
11,13,19.0,21.5
11,15,20.0,21.3
11,24,19.0,21.0
11,26,16.0,20.3
