conj,id_dep,inicio,fin
1,1,9.0,12.45
1,2,10.0,10.45
1,6,9.0,16.5
1,14,8.3,16.45
1,23,9.0,11.3
1,26,10.0,13.0
2,1,9.0,12.45
2,6,9.0,16.5
2,8,11.0,13.45
2,14,8.3,16.45
2,23,9.0,11.3
2,26,10.0,13.0
3,1,9.0,12.45
3,6,9.0,16.5
3,8,11.0,13.45
3,14,8.3,16.45
3,21,12.0,15.0
3,26,10.0,13.0
4,2,13.35,18.0
4,5,13.3,17.15
4,6,9.0,16.5
4,7,13.0,16.15
4,8,11.0,13.45
4,14,8.3,16.45
4,21,12.0,15.0
4,23,13.3,17.0
5,1,14.0,17.45
5,2,13.35,18.0
5,5,13.3,17.15
5,6,9.0,16.5
5,7,13.0,16.15
5,12,14.0,22.0
5,14,8.3,16.45
5,21,12.0,15.0
5,23,13.3,17.0
6,1,14.0,17.45
6,2,13.35,18.0
6,5,13.3,17.15
6,12,14.0,22.0
6,13,17.0,20.5
6,26,17.0,20.15
7,7,18.0,20.45
7,12,14.0,22.0
7,13,17.0,20.5
7,26,17.0,20.15
