id_dep,inicio,fin,es_final,sedes
3,9,12.3,0,TECNO
3,13.3,17,0,TECNO
3,18,21,0,TECNO
4,15.15,18,1,URBAN
5,9,14,0,URBAN
6,9,16.5,0,GREEN
9,14,15.3,0,GREEN
10,9,9.25,0,URBAN
10,12,14.1,0,URBAN
10,15,16.2,0,URBAN
11,9,13.45,0,YOP
11,17,20.1,1,YOP
12,14,22,0,TECNO
13,14,16.45,0,YOP
13,19,21.25,0,YOP
15,16,17.3,0,YOP
15,20,21.3,0,YOP
16,9.3,18.3,0,YOP
17,10,12.25,0,YOP
17,15,16,1,YOP
20,10,11.3,0,YOP
20,18,19.55,1,YOP
22,13,14.3,0,URBAN
22,15.3,17,0,URBAN
24,14,17,0,YOP
24,19,21,1,YOP
25,10,18,0,GREEN
26,10,14.3,0,TECNO
26,16,20.3,0,TECNO
27,9,12.15,0,TECNO
28,11,13,0,GREEN
29,12,18,0,SAV
30,10,13.2,0,TECNO
30,14.3,17.5,0,TECNO
